efmy	〈〉	未使用語
iderni	〈〉	未使用語
neyva	〈〉	未使用語
owvos	〈〉	未使用語
yerve	〈〉	未使用語
isea	〈感嘆詞〉	～したくない
	〈動詞〉	望まない
erlars	〈感嘆詞〉	Hello!こんにちは！
aldeyn	〈感嘆詞〉	あけおめ・新年のあいさつ
wir'bin	〈感嘆詞〉	ありがとう！
eriy	〈感嘆詞〉	いいえ・no
	〈文頭詞〉	いや・そうではく・反対として
walfy'ya	〈感嘆詞〉	おはよう
way'ya	〈感嘆詞〉	こんにちは
Qis	〈感嘆詞〉	こんにちは・Hi
Cirordo	〈感嘆詞〉	さよなら
Cao	〈感嘆詞〉	シャオ！
katass	〈感嘆詞〉	すーきっ?
tein	〈感嘆詞〉	だめ・駄目だ・やめろ
dag	〈感嘆詞〉	ほら・ほれ・それ
cayna	〈感嘆詞〉	よろしく・初めまして・これからよろしく
tuzi	〈疑問詞〉	形容詞を問う
igar	〈疑問詞〉	時制を問う疑問詞
felio	〈疑問詞〉	場所を問う疑問詞・どこ・どこで
lgy	〈疑問詞〉	数詞を問う
hard	〈疑問詞〉	誰が?・何が?・主格の疑問詞
Reus	〈疑問詞〉	特定を問う疑問詞・どれ・どの
cyow	〈疑問詞〉	名称を問う
erDi	〈疑問詞〉	目的語を問う疑問詞・何を・何に
wels	〈疑問詞〉	理由を問う疑問詞・なぜ・なぜに
KeQ	〈形容詞〉	(声が)高い・高音の・つんざく
	〈副詞〉	高く・高音で
TeQ	〈形容詞〉	(声が)低い・低音の
	〈副詞〉	低く・低音で
leyM	〈形容詞〉	（程度などが）高い・傾向のある
alekt	〈形容詞〉	～でない(強い否定)
nel	〈形容詞〉	～など・非限定拡大
	〈名詞〉	皆・この場の全員
kyla	〈形容詞〉	あなた
cai	〈形容詞〉	あの・あんな
alQe	〈形容詞〉	ありえない
lyon	〈形容詞〉	いくつかの・some
mois	〈形容詞〉	いびつな・歪な
	〈副詞〉	いびつに・歪に
enta	〈形容詞〉	うるさい・耳障りな
koska	〈形容詞〉	おいしい・美味な
kataCa	〈形容詞〉	おもしろい・滑稽な・喜劇的な
	〈形容詞〉	漫画的な・まんがのような
	〈名詞〉	漫画本・まんが雑誌
vytel	〈形容詞〉	きれいな・清浄な
stiln	〈形容詞〉	さかさまの
	〈名詞〉	逆位
als	〈形容詞〉	その・限定と強調
eriq	〈形容詞〉	そのままの・むき出しの
katty	〈形容詞〉	そのままの・本来の
	〈副詞〉	そのまま・ただただ
trew	〈形容詞〉	チープな・安っぽい
netu	〈形容詞〉	みずぼらしい
milai	〈形容詞〉	悪いこと・悪事
elia	〈形容詞〉	偉大な
jenirt	〈形容詞〉	一番の・第一の
siatia	〈形容詞〉	煙い
beanik	〈形容詞〉	汚い
alrey	〈形容詞〉	汚れた
jatus	〈形容詞〉	横に行く・横になった
gailen	〈形容詞〉	下級の
helsten	〈形容詞〉	下級以下の・底辺の
olka	〈形容詞〉	下品な
far'e	〈形容詞〉	何もかも
	〈副詞〉	完璧に・～しつくすまで
celuey	〈形容詞〉	華やかな・カラフルな
jorq	〈形容詞〉	怪しい・怪しげな
geRks	〈形容詞〉	絵のように綺麗な・絵画的な
lisk	〈形容詞〉	外からの
jorlisk	〈形容詞〉	外来の外因の
qeta	〈形容詞〉	甘い
envent	〈形容詞〉	簡易な・野外用の
Ceiti	〈形容詞〉	簡単な
deyny	〈形容詞〉	喜ばしい
segn	〈形容詞〉	強い
Kyyn	〈形容詞〉	狂った・気の違った
hazz	〈形容詞〉	凝った・硬い・凝り固まった
korpu	〈形容詞〉	近い・近くの
canorir	〈形容詞〉	近くの・目と鼻の先の
	〈副詞〉	近くに。すぐそばに・ぴったり近くに
qast	〈形容詞〉	空想の
lanjett	〈形容詞〉	空中の
Rlrd	〈形容詞〉	古い・古き・旧い
	〈接尾辞〉	旧～・古い～
feltatas	〈形容詞〉	固有の・風土の
oRq	〈形容詞〉	孤独な
lana	〈形容詞〉	後の・尾っぽの・末の
piker	〈形容詞〉	後験的な・後発の
	〈副詞〉	後で・後に
vin	〈形容詞〉	向こう側
Kwikk	〈形容詞〉	広い・十分な
Kon	〈形容詞〉	高位の
cieyni	〈形容詞〉	再びの
Disti	〈形容詞〉	細かい・小さな・微細な
Luirt	〈形容詞〉	三番目の・みっつめの・第三
siatip	〈形容詞〉	傘下にある・庇護下の
	〈名詞〉	傘下のもの・庇護下のもの・部下
yeing	〈形容詞〉	産まれたての・幼い
Cleq	〈形容詞〉	酸っぱい
xarlins	〈形容詞〉	始めの・最初の・原始の
Qyst	〈形容詞〉	次の・順繰りが次の
enoks	〈形容詞〉	次の・続いた先の
	〈名詞〉	次回・次
weeLuon	〈形容詞〉	実行出来る・出来る状態にある
moza	〈形容詞〉	重なった・重層の
onea	〈形容詞〉	出来ない・不可能な
Diqa	〈形容詞〉	小さな・小さい
caqr	〈形容詞〉	少ない
vortlen	〈形容詞〉	上級の・上位の
xiy	〈形容詞〉	新しい
woga	〈形容詞〉	深い・むずむずとする
edinta	〈形容詞〉	真っ赤な・真紅色の
tywar	〈形容詞〉	真ん中の・中央～
	〈名詞〉	中心・中央
fascilin	〈形容詞〉	身勝手な・わがままな
Qg'ala	〈形容詞〉	辛い・つらい・しんどい
lott	〈形容詞〉	人工的・不自然な
essa	〈形容詞〉	正式な
xleyn	〈形容詞〉	正常な
likka	〈形容詞〉	先験的な
lanZa	〈形容詞〉	川の・河川性の・淡水の
page	〈形容詞〉	全体的な・全般の
	〈副詞〉	全体的に。全般的に
tily	〈形容詞〉	多い・たくさんの
gordi	〈形容詞〉	大きな・大きい
tilbs	〈形容詞〉	大事ではない・不必要な
wio	〈形容詞〉	沢山の・いっぱいの
Cayly	〈形容詞〉	単純な
wanas	〈形容詞〉	単純な
dyr	〈形容詞〉	短い
arlslen	〈形容詞〉	中級の
ady	〈形容詞〉	調子の悪い
teyntaq	〈形容詞〉	捗っている・捗々しい
gulist	〈形容詞〉	怒り
honie	〈形容詞〉	東の・東方の
	〈名詞〉	東・お日様の昇る方向
klanh	〈形容詞〉	等しい・同等の・同じくらいの
yula	〈形容詞〉	透明な・不可視の
skirt	〈形容詞〉	二番目の・ふたつめの・第二
fila	〈形容詞〉	濡れた・濡れている
aCowi'r	〈形容詞〉	廃れた
virKKat	〈形容詞〉	半分の・半端な
	〈名詞〉	半期
Zo'rdU	〈形容詞〉	肥えた
fycw	〈形容詞〉	普段の・特別でない
veliq	〈形容詞〉	法的な・法に定められた
forett	〈形容詞〉	豊かな・富める・繁栄した
Cagna	〈形容詞〉	凡百の
sina	〈形容詞〉	末の
teavis	〈形容詞〉	無駄な
puty'a	〈形容詞〉	無様な・不格好な・滑稽な
tolt	〈形容詞〉	盲目の・見えない
	〈副詞〉	手探りで
vel'ed	〈形容詞〉	野生の
lalu	〈形容詞〉	唯一の
falawn	〈形容詞〉	様々な
KeRw	〈形容詞〉	良い・よい
xelnik	〈形容詞〉	綺麗な・清浄な
Ceniy	〈形容詞〉	綺麗な・美麗な
tritnia	〈後置詞〉	～してしまう
lea	〈後置詞〉	～だけの・唯一～の
	〈副詞〉	～のみを・～だけ
yit	〈後置詞〉	～などと
tete	〈後置詞〉	～のように
keR	〈後置詞〉	～日間
po'a	〈後置詞〉	～年後
lo'a	〈後置詞〉	～年前
emen	〈接続詞〉	＆・～と
	〈動詞〉	足す・加算する
seyn	〈接続詞〉	～したら・～したとき
	〈文頭詞〉	その時
fain	〈接続詞〉	～だから～せよ
peste	〈接続詞〉	～であり～でもある・並列同時同等の接続詞
	〈接続詞〉	～でなくて～である・並列同時異等の接続詞
enmecia	〈接続詞〉	～と～・＆
em	〈接続詞〉	～と～・&
haRo	〈接続詞〉	～と～る・that
	〈代名詞〉	関係代名詞・～な～とは
sea	〈接続詞〉	～と・相対・目的としての並列
sai	〈接続詞〉	～と同じ～
rurz	〈接続詞〉	～と比べて・than
eq'anu	〈接続詞〉	～ならば
vyuq	〈接続詞〉	～のような
walir	〈接続詞〉	～のような・装飾
tai	〈接尾辞〉	～か・弱化・失意・残念の接尾辞
na	〈接尾辞〉	～が・主格の前置詞
us	〈接尾辞〉	～させる・使役の接尾辞
wo	〈接尾辞〉	～させる・他動詞化
el	〈接尾辞〉	～される・受動・受身
art	〈接尾辞〉	～さん・敬称の接尾辞
bef	〈接尾辞〉	～しそう・未然の活用
ly	〈接尾辞〉	～した・～しきる・完了
piw	〈接尾辞〉	～した・動詞状態
biz	〈接尾辞〉	～したい・願望・希望の接尾辞
i'r	〈接尾辞〉	～したい・希望の接尾辞
es	〈接尾辞〉	～したことがある・経験の活用
ania	〈接尾辞〉	～しちゃった・してしまった・残念失意の接尾辞
uR	〈接尾辞〉	～している・進行
eta	〈接尾辞〉	～してくれ・～するといい
est	〈接尾辞〉	～してくれ・依頼
oy	〈接尾辞〉	～してもよい・許可
alu	〈接尾辞〉	～してもらう・受益の接尾辞
owl	〈接尾辞〉	～しない・反転の接尾辞
is	〈接尾辞〉	～しよう・勧誘
a	〈接尾辞〉	～しろ・命令
akt	〈接尾辞〉	～しろ・命令
an	〈接尾辞〉	～しろ・命令
em	〈接尾辞〉	～し始める・開始
uxxe	〈接尾辞〉	～す・未来
ela	〈接尾辞〉	～すら
ein	〈接尾辞〉	～するな・禁止の接尾辞
xel	〈接尾辞〉	～するべき・義務
ink	〈接尾辞〉	～する事・動名詞
	〈接尾辞〉	～す・動形容詞
Ragi	〈接尾辞〉	～する者・～者
iq	〈接尾辞〉	～だった・過去の接尾辞
or	〈接尾辞〉	～だろう・予想未来
yur	〈接尾辞〉	～っていく・緩い進行の接尾辞
ed	〈接尾辞〉	～て～・連用
ok	〈接尾辞〉	～ている・普段
	〈接尾辞〉	～ている・継続
on	〈接尾辞〉	～できる・可能の接尾辞
ol	〈接尾辞〉	～でしょう・～ですよね・形容の尊敬
mu	〈接尾辞〉	～でない・非～
ea	〈接尾辞〉	～ない・否定の活用
	〈感嘆詞〉	ちがう
aca	〈接尾辞〉	～な人
alpen	〈接尾辞〉	～によって・～に対して
gio	〈接尾辞〉	～による
uks	〈接尾辞〉	～の・名詞化の接尾辞
jir	〈接尾辞〉	～のような・装飾・形容詞化
	〈接尾辞〉	～らしい・～に似合う
Kr	〈接尾辞〉	～の持つ・所有・属格の接尾辞
ek	〈接尾辞〉	～る・自動詞化
ain	〈接尾辞〉	～る・動詞化
un	〈接尾辞〉	～を・対称格
renz	〈接尾辞〉	～学
	〈名詞〉	(くだけて)学問
pakCi	〈接尾辞〉	～機・～機械
pio	〈接尾辞〉	～群
aj	〈接尾辞〉	～事・動名詞
Qen	〈接尾辞〉	～質
bakt	〈接尾辞〉	～諸君・～等よ
aM	〈接尾辞〉	～人・～の人々～の者
pa	〈接尾辞〉	～達・複数の接尾辞
ban	〈接尾辞〉	～土・～質土
xyk	〈接尾辞〉	～番目・序数
	〈動詞〉	安定する
	〈形容詞〉	安定した・定まれり
aaz	〈接尾辞〉	～風の・～による
of	〈接尾辞〉	～用の・目的
kyar	〈接尾辞〉	あなたの・二人称属格
lakr	〈接尾辞〉	あなたの・二人称属格
ta	〈接尾辞〉	強調の接尾辞
kia	〈接尾辞〉	形容詞・副詞の名詞化・~品・～もの
ti	〈接尾辞〉	指小辞・～ちゃん
ian	〈接尾辞〉	職人・～者
os	〈接尾辞〉	生物の接尾辞
et	〈前置詞〉	～から～まで
rik	〈前置詞〉	～から・～より
	〈前置詞〉	～の・～産
Ken	〈前置詞〉	～して・～と・理由
ves	〈前置詞〉	～する前に
luy	〈前置詞〉	～だけを・限定の前置詞
emenca	〈前置詞〉	～と～・＆
go	〈前置詞〉	～として・as
ot	〈前置詞〉	～に・in・於
dlxa	〈前置詞〉	～にとって・～に於いて
eype	〈前置詞〉	～によって・～に対して
tun	〈前置詞〉	～に沿って・～のままの
tia	〈前置詞〉	～の・of・所属・～内
	〈動詞〉	～に所属する・～中にある
lo	〈前置詞〉	～のために・for
	〈前置詞〉	(主に宛名で)～へ・(本・書類の表題で)～の
mi	〈前置詞〉	～のたもと
ete	〈前置詞〉	～の中で・in
tang	〈前置詞〉	～ばかりを
ererl	〈前置詞〉	～より・by・手段
ped	〈前置詞〉	～を
win	〈前置詞〉	～を含む・with
albe	〈前置詞〉	～程の・about
Kil	〈前置詞〉	～毎に・～する度に
sa	〈前置詞〉	on・～に乗って
bo	〈前置詞〉	or・also・または
rib	〈前置詞〉	to・～に向かって・～へ
ye	〈前置詞〉	共に・一緒くたに・～につれて
la	〈前置詞〉	強調の冠詞的前置詞
ols	〈前置詞〉	時間的な於・～に
Xine	〈代名詞〉	あそこ・(指を指して)そこ
ais	〈代名詞〉	あたし・私
egqsse	〈代名詞〉	あなたのもの
caixe	〈代名詞〉	あの人
esse	〈代名詞〉	あれ
	〈形容詞〉	あの
isse	〈代名詞〉	あれ・とあるもの・伝聞上のあれ・かの
	〈形容詞〉	あの・とある・伝聞上の
os	〈代名詞〉	これ
osse	〈代名詞〉	これ
	〈形容詞〉	この
azqi	〈代名詞〉	こんな
	〈形容詞〉	このような
	〈副詞〉	このように
lirse	〈代名詞〉	それ
asse	〈代名詞〉	それ
	〈形容詞〉	その
yezqi	〈代名詞〉	そんな
	〈形容詞〉	そのような
	〈副詞〉	そんなに
lente	〈代名詞〉	そんな事・そう
	〈形容詞〉	そのような
	〈副詞〉	このように
yuta	〈代名詞〉	何か
tew	〈代名詞〉	貴方・君・そちら
wey	〈代名詞〉	私(ワタクシ)
we	〈代名詞〉	私・我・わたし
wa	〈代名詞〉	私達・うちら・こっち
niy'yei	〈代名詞〉	誰・だれ
qursse	〈代名詞〉	誰が・誰もが
Qeince	〈代名詞〉	誰かが・誰かを
Qaise	〈代名詞〉	誰も・ただ一人として～ない
yenk	〈代名詞〉	奴・あいつ・あんにゃろ
caluk	〈代名詞〉	彼
lar	〈代名詞〉	彼・彼女・彼奴
cerla	〈代名詞〉	彼女
lay	〈代名詞〉	僕・私め
kxe	〈単位〉	～日後
kni	〈単位〉	～日前
Zua	〈単位〉	～歩
dana	〈単位〉	111.25mm
Cari	〈単位〉	22.5mm
cator	〈単位〉	445mm
delk	〈単位〉	デルク
iZd	〈単位〉	バージョン・段階
xakk	〈単位〉	歳
	〈名詞〉	歳・年・トシ
kukk	〈単位〉	時
	〈名詞〉	一時間
gal	〈単位〉	出温度
eCrgin	〈単位〉	段階・フェーズ・状態
cykk	〈単位〉	日
	〈名詞〉	一日
vakk	〈単位〉	秒
nakk	〈単位〉	分
tikti	〈動詞〉	(やさしく)叩く・殺傷傷害の意図なく叩く
vaxi	〈動詞〉	(家などに)帰る
bens	〈動詞〉	(花等が)散る
libas	〈動詞〉	(眼に・目に)水や液体が染みて痛む
vely	〈動詞〉	(故意に)破壊する・壊す
meti	〈動詞〉	(数値を)加算する・加える
alged	〈動詞〉	(罰や暴力などを)受ける
xylvis	〈動詞〉	(物理的に)安定する
wal	〈動詞〉	～する・代動詞・Do
fiexx	〈動詞〉	～とみられる
banTin	〈動詞〉	～のふりをする
Zank	〈動詞〉	～の対になる・対に据えられる
lot	〈動詞〉	～は・be
	〈接続詞〉	等位
hakkum	〈動詞〉	あげる・融通する・寄付する
qio	〈動詞〉	ある・存在する・いる・在る
sites	〈動詞〉	いなくなる・去る
booz	〈動詞〉	ガッカリとさせる・失望させる・(期待を)裏切る
kyenin	〈動詞〉	コイントスする・賭けにて決める
ozkLus	〈動詞〉	ジャンプする・飛び越える・跳ぶ
two	〈動詞〉	する・行う・Do
banQal	〈動詞〉	なかったことにする・消す・削除する
dent'ail	〈動詞〉	なくなる失われる無くす
yurkeim	〈動詞〉	のたうつ
gesti	〈動詞〉	のどにものを詰まらせる・むせる
klvaQ	〈動詞〉	ふざける・からかう・遊ぶ
pgada	〈動詞〉	愛する・好く・すき・好きである
dikata	〈動詞〉	逢う・会合する・会う
aguli	〈動詞〉	一寸にする・遠慮する
jala	〈動詞〉	飲む
Katain	〈動詞〉	嘘をつく
jestin	〈動詞〉	遠慮する・躊躇する・思いとどまる
Cxin	〈動詞〉	歌う
