word,trans,exp,level,memory,modify,pron,filelink
"a","","【訳語】
～しろ・命令の活用
【用例】
【活用】動詞に後置して～しろという強制の意思を表す。 (de)",0,0,0,""
"ain","","【訳語】
～る・動詞化の活用
【用例】
【活用】名詞や形容詞に後置する。 (de)",0,0,0,""
"akt","","【訳語】
～しろ・命令の活用
【用例】
【活用】動詞に後置して～しろという強制の意思を表す。aよりも強い. (le)",0,0,0,""
"bef","","【訳語】
～しそう・未然の活用
【用例】
【活用】動詞に後置して～しそうということをあらわす、もうじき～が始まるとも訳す (de)",0,0,0,""
"ea","","【訳語】
～ない・否定の活用
【用例】
【活用】動詞や名詞に後置して意味を反転させる、感嘆詞として使うと「違う違う！」のような意味になる。 (de)",0,0,0,""
"ein","","【訳語】
~するな・禁止の活用
【用例】
【活用】強い禁止の意 (de)",0,0,0,""
"ek","","【訳語】
～る・自動詞化の活用
【用例】
【活用】動詞に後置して自動詞に変える。 (de)",0,0,0,""
"el","","【訳語】
～される・受動の活用
【用例】
【活用】動詞に後置し、主語が目的語に動詞されたをあらわす。 (de)",0,0,0,""
"em","","【訳語】
～し始める・開始の活用
【用例】
【活用】動詞宇に後置して～し始めている、～するのがが始まったと表す。 (de)",0,0,0,""
"es","","【訳語】
～したことがある・経験の活用
【用例】
【活用】英語で言うhave文に似た役割を持つ。 (de)",0,0,0,""
"est","","【訳語】
～してくれ・依頼の活用
【用例】
【活用】～してもらうという意味にもなる。 (de)",0,0,0,""
"ink","","【訳語】
～すること・動名詞の活用
【用例】
【活用】動詞に後置してその動詞を名詞として扱えるようにする。ほぼuksと同義だが、若干ニュアンスが変わる単語がある。 (de)",0,0,0,""
"iq","","【訳語】
～だった・過去の活用
【用例】
【活用】iniとも書く、動詞や名詞に後置して過去形を表す、 (de)",0,0,0,""
"is","","【訳語】
～しよう・勧誘の活用
【用例】
【活用】動詞に後置し誘う意思を表す[例:wogis?動かそう] (de)",0,0,0,""
